ID;Раздел;Минимум ₽;Максимум ₽;Что включено;Источник объема;Статус
B01;Обследование обмеры проектирование;450000;950000;обмер дефектовка архитектура дизайн координация;PDF плюс требование обследования;предварительный диапазон
B02;Конструктив балкона и нового дверного проема;650000;1400000;расчет усиление проем узлы;изменение заказчика;без обследования не заказывать
B03;Проекты инженерных систем;350000;850000;ЭОМ ВК ОВ газ согласования;требование заказчика;предварительный диапазон
B04;Электрика и освещение;1100000;2200000;щит кабель автоматика светильники монтаж;планы ЭОМ v17 и свет L01-L17;после расчета нагрузок
B05;Вода канализация отопление вентиляция газ;2400000;4300000;оборудование разводка монтаж пуск;принципиальная схема ВК;газ только специализированная организация
B06;Черновая отделка;3500000;5700000;штукатурка стяжка гидроизоляция основания;площади PDF 241,46 м2;после обмера поверхностей
B07;Чистовая отделка;4200000;7200000;краска плитка пол потолки двери работа;площади PDF и ведомость комнат;зависит от материалов
B08;Окна и двери;800000;1500000;новая балконная дверь межкомнатные порталы;изменение заказчика плюс планы;после замера
B09;Кухня со столешницей и островом;700000;1500000;гарнитур фурнитура столешница монтаж;КМ-01 и КМ-02;локальный BOQ кухни уточняет состав
B10;Мебель всех помещений;1800000;3500000;шкафы кровати детские гостиная прихожая;ведомость комнат;после чистового замера
B11;Бытовая техника;550000;1100000;кухня стирка климат телевизоры;каталог кандидатов;онлайн-цены меняются
B12;Сантехника;800000;1500000;два семейных санузла гостевой санузел;площади PDF;после подбора коллекций
B13;Мангальная комната;850000;1600000;столешница мангал печь мойка дымоудаление;требование заказчика;нужны пожарный и вентиляционный расчеты
B14;Бетон дорожки дренаж;2100000;4000000;основания бетон мощение ливневка;эскиз участка;после топосъемки
B15;Баня 3x7 и хозблок 1x3;1800000;3500000;коробка инженерия отделка оборудование;габариты от заказчика;без геологии и КП
B16;Озеленение автополив наружный свет;1100000;2200000;растения грунт полив посадка свет;эскиз посадок;после анализа почвы
B17;Балкон 7,50 м отделка ограждение экраны;1200000;2400000;плита или каркас отделка ограждение экраны;изменение заказчика;только после расчета конструктора
ИТОГО;Работы и комплектация без резерва;24350000;45400000;сумма 17 разделов;арифметика перепроверена;не коммерческая смета
РЕЗЕРВ;Рекомендуемый резерв 12 процентов;2922000;5448000;скрытые дефекты и изменение цен;расчет 12 процентов;держать отдельно
ВСЕГО;С резервом 12 процентов;27272000;50848000;ориентир для финансового планирования;итого плюс резерв;не является офертой
