Лист;Наименование;Масштаб;Стадия;Изм.;Основание;Статус;Можно в монтаж
H1-00;Общие данные и ведомость листов;—;H1-KOORD;00;Реестр H1;КООРДИНАЦИЯ;НЕТ
H1-ГП-01;Схема участка и контроль размещения;М 1:150;H1-KOORD;00;PDF л.4 + требования заказчика;КООРДИНАЦИЯ;НЕТ
H1-АР-01;Исходная схема посадки дома;по исходному листу;H1-KOORD;00;PDF л.4;ИСХОДНЫЙ ЛИСТ;НЕТ
H1-АР-02;План первого этажа;по исходному листу;H1-KOORD;00;PDF л.7;ИСХОДНЫЙ ЛИСТ;НЕТ
H1-АР-03;План второго этажа;по исходному листу;H1-KOORD;00;PDF л.8;ИСХОДНЫЙ ЛИСТ;НЕТ
H1-АР-04;Фасад спереди;по исходному листу;H1-KOORD;00;PDF л.10;ИСХОДНЫЙ ЛИСТ;НЕТ
H1-АР-05;Разрез 1–1 и отметки;по исходному листу;H1-KOORD;00;PDF л.14;ИСХОДНЫЙ ЛИСТ;НЕТ
H1-АР-06;Общий балкон над гаражом — схема изменения;М 1:50;H1-KOORD;00;PDF л.7–8 + изменение заказчика;ТРЕБУЕТ КОНСТРУКТОРА;НЕТ
H1-БН-01;Баня 7000 × 3000 — планировочная координация;М 1:50;H1-KOORD;00;Требование заказчика;ТРЕБУЕТ ПРОЕКТА БАНИ;НЕТ
H1-ТХ-01;Мангальная зона 1610 × 1970 — план и фасад;М 1:25;H1-KOORD;00;PDF л.7 + фото заказчика;ТРЕБУЕТ ПЕЧНИКА/ОВ/ВК;НЕТ
