Помещение;Объект;Производитель/модель;Статус;Цена на 30.07.2026;Наличие;Ссылка;Инженерное требование
Кухня-гостиная;Кухня 5,2 м + остров;Мария / индивидуальный расчёт;Кандидат;от 280736 ₽;По расчёту;https://stavropol.marya.ru/price/;Контрольный замер, вода, канализация, электрика и вентиляция
Кухня-гостиная;Индукционная панель;MAUNFELD CVI593SFBK LUX;Выбранный ориентир, недоступен;41490 ₽;Нет в наличии;https://www.maunfeld.ru/catalog/induction/induktsionnaya-varochnaya-panel-maunfeld-cvi593sfbk-lux-inverter;Отдельная силовая линия по паспорту
Кухня-гостиная;Холодильник-морозильник;MAUNFELD MBF177SWGR;Кандидат;84990 ₽;Проверить перед заказом;https://www.maunfeld.ru/catalog/embedded-freezer/kholodilnik-morozilnik-vstraivaemyy-maunfeld-mbf177swgr-inverter;Ниша и вентиляционный зазор
Кухня-гостиная;Посудомоечная машина;MAUNFELD MLP60530;Кандидат;Уточнить;Проверить;https://www.maunfeld.ru/catalog/vstraivaemye-posudomoechnye-mashiny/posudomoechnaya-mashina-maunfeld-mlp60530-light-beam;Розетка, вода, канализация
Кухня-гостиная;Вытяжка;MAUNFELD Domina 60;Кандидат;Уточнить;Проверить;https://www.maunfeld.ru/catalog/embedded/kukhonnaya-vytyazhka-maunfeld-domina-60-chyernyy;Вентканал и питание
Кухня-гостиная;Диван, ТВ-зона, стол, 6 стульев;Divan.ru Ставрополь;Каталог-кандидат;Уточнить;По каталогу;https://www.divan.ru/stavropol/category/stenki;Подтвердить габариты в модели
Спальня родителей;Кровать 1800, матрас, тумбы;Divan.ru Ставрополь;Каталог-кандидат;Уточнить;По каталогу;https://www.divan.ru/stavropol/category/krovati-i-matrasy;Привязать розетки и бра после выбора
Дарина и Ярик;Детская мебель;Divan.ru Ставрополь;Каталог-кандидат;Уточнить;По каталогу;https://www.divan.ru/stavropol/category/mebel-dla-detskoj;Безопасные крепления и розетки со шторками
Санузлы;Инсталляция;Grohe Rapid SL 38528001;Подтверждённый кандидат;46197 ₽;Под заказ, клавиша отдельно;https://stavropol.santehnica.ru/product/69119.html;Узел ВК и ревизионный доступ
Санузлы;Тумбы под раковину;Каталог Santehnica.ru Ставрополь;Каталог-кандидат;Уточнить;По каталогу;https://stavropol.santehnica.ru/catalog/mebel-dlya-vannih-komnat/tumbi/pod-rakoviny/;Габариты и выпуски ВК
Все комнаты;Встраиваемый свет 3000К CRI90;Maytoni Focus C071CL-7W3K-B;Кандидат;Уточнить;Проверить;https://maytoni.ru/catalog/functional/potolochnye-svetilniki-func/potolochnye-vstraivaemye-svetilniki/svetilniki-downlight/c071cl-7w3k-b/;Расчёт количества и диммирования
Санузлы;Свет IP44;Maytoni Okno DL055-8W3K-SEN-W;Кандидат;Уточнить;Проверить;https://maytoni.ru/catalog/functional/potolochnye-svetilniki-func/potolochnye-vstraivaemye-svetilniki/svetilniki-downlight/dl055-8w3k-sen-w/;Зоны ПУЭ и управление
Фасад и балкон;Свет IP65;Maytoni Line O484WL-L6GF3K;Кандидат с 3D-материалами;Уточнить;Проверить;https://maytoni.ru/catalog/street/bra/o484wl-l6gf3k/;Наружная линия, IP, защита
Гардероб и прихожая;Встроенные системы;ARISTO Ставрополь;Индивидуальный расчёт;Уточнить;По расчёту;https://stavropol.aristo.ru/;Контрольный замер и подсветка
Мебель на заказ;Кухня, шкафы, санузлы;Мебель на заказ 26;Кандидат-подрядчик;Уточнить;По договору;https://mebelnazakaz26.ru/;Проверить договор, материалы и фурнитуру
Балкон и мангальная;Уличная мебель;Divan.ru Ставрополь;Каталог-кандидат;Уточнить;По каталогу;https://www.divan.ru/stavropol/category/sadovaya-mebel;Уличное исполнение и проходы
Баня;Печь и дымоход;Ермак;Каталог-кандидат;Уточнить;После расчёта парной;https://ermak-pech.ru/pechi-dlya-bani;Пожарный расчёт, дымоход, основание и вентиляция
Участок;Лаванда Hidcote;Питомник Ставрополь;Кандидат сорта;Уточнить;Проверить сезон;https://stavropol.zpitomnik.ru/product/lavanda_uzkolistnaya_hidcote/;Солнце, почва, полив и шаг 0,7 м
Участок;Гортензия Little Lime;Питомник Ставрополь;Кандидат сорта;Уточнить;Проверить сезон;https://stavropol.zpitomnik.ru/product/gortenziya_metelchataya_little_lime/;Полутень, влажность, шаг по дендроплану
