ID;Категория;Наименование;Габариты или мощность;Цена 30.07.2026;Статус;Привязка и ограничение;URL
P01;Техника;MAUNFELD CVI593SFBK LUX;590x520x58 мм, 7 кВт;41490 ₽;нет в наличии;Вырез столешницы и отдельная линия только после выбора доступной модели;https://www.maunfeld.ru/catalog/induction/induktsionnaya-varochnaya-panel-maunfeld-cvi593sfbk-lux-inverter
P02;Техника;MAUNFELD MBF177SWGR;540x545x1775 мм;84990 ₽;в продаже;Ниша, вентиляция и фасад кухни по паспорту;https://www.maunfeld.ru/catalog/embedded-freezer/kholodilnik-morozilnik-vstraivaemyy-maunfeld-mbf177swgr-inverter
P03;Техника;MAUNFELD MLP60530;598x550x815 мм, 2.1 кВт;39990 ₽;в продаже;Вода, канализация и розетка после проекта кухни;https://www.maunfeld.ru/catalog/vstraivaemye-posudomoechnye-mashiny/posudomoechnaya-mashina-maunfeld-mlp60530-light-beam
P04;Техника;MAUNFELD EOEM.769B;595x547x595 мм, 2.03 кВт;47490 ₽;нет в наличии;На странице есть расхождение глубины 547 и 567 мм;https://www.maunfeld.ru/catalog/electric/shkaf-dukhovoy-elektricheskiy-maunfeld-eoem-769b
P05;Техника;MAUNFELD Domina 60;598x290x182 мм, патрубок 150 мм;17990 ₽;в продаже;Трасса вентиляции и шкаф по проекту ОВ;https://www.maunfeld.ru/catalog/embedded/kukhonnaya-vytyazhka-maunfeld-domina-60-chyernyy
P06;Техника;MAUNFELD JBMO725BK01;595x317x390 мм, 1.08 кВт;24990 ₽;в продаже;Ниша и вентиляционные зазоры по паспорту;https://www.maunfeld.ru/catalog/edmicrowave/mikrovolnovaya-pech-vstraivaemaya-maunfeld-jbmo725bk01
P07;Сантехника;GROHE Rapid SL 39536000;около 500x135x1130 мм;120000 ₽;под заказ;Ось канализации и конструкция стены после обмера;https://stavropol.santehnica.ru/product/215901.html
P08;Сантехника;Ванна Abber AB9315 L/R;1700x750x600 мм, 210 л;85900 ₽;в наличии;Выбор стороны, слив и нагрузка перекрытия;https://stavropol.santehnica.ru/product/415971.html
P09;Сантехника;Душевой уголок Veconi Rovigo;1200x800x1950 мм, стекло 6 мм;42676 ₽;в наличии;Уклоны, слив и открывание двери до гидроизоляции;https://stavropol.santehnica.ru/product/1690101.html
P10;Сантехника;Поддон Veconi Pietra;1200x800 мм;от 29179 ₽;уточнить;Высота трапа и пирог пола;https://stavropol.santehnica.ru/product/1666091.html
P11;Сантехника;Тумба Jacob Delafon Tolbiac;1185x456x520 мм;47434 ₽;в наличии;Тумба без раковины, нужны согласованные выводы воды;https://stavropol.santehnica.ru/brand/jacob-delafon/tolbiac/
P12;Освещение;Maytoni Focus C071CL-7W3K-B;120x80 мм, 7 Вт, 3000К, IP20;3600 ₽;более 20 шт.;Количество по светорасчету, не для мокрых и наружных зон;https://maytoni.ru/catalog/functional/potolochnye-svetilniki-func/potolochnye-vstraivaemye-svetilniki/svetilniki-downlight/c071cl-7w3k-b/
P13;Освещение;Maytoni Okno DL055-8W3K-SEN-W;90x46 мм, 8 Вт, IP44, датчик;3270 ₽;более 20 шт.;Датчик нельзя отключить, не использовать единственным светом;https://maytoni.ru/catalog/functional/potolochnye-svetilniki-func/potolochnye-vstraivaemye-svetilniki/svetilniki-downlight/dl055-8w3k-sen-w/
P14;Освещение;Maytoni Line O484WL-L6GF3K;170x80x160 мм, 6 Вт, 3000К, IP65;16190 ₽;более 20 шт.;Фасад и балкон, количество после расчета;https://maytoni.ru/catalog/street/bra/o484wl-l6gf3k/
P15;Освещение;Maytoni Bar O306CL-L12GF;108x155 мм, 12 Вт, 1300 лм, IP65;8390 ₽;более 20 шт.;Мангальная только после пожарной проверки и светорасчета;https://maytoni.ru/catalog/street/potolochnye-svetilniki-outdoor/o306cl-l12gf/
P16;Материалы;Knauf Rotband;мешок 30 кг;650.53 ₽;много, цену уточнить;Количество после обмера стен и проверки основания;https://stavropol.prinesipoday.ru/catalog/stroitelnye-smesi/shtukaturki/shtukaturka-dlya-vnutrennikh-rabot/
P17;Материалы;Ceresit CT 17 Pro;10 л;1147 ₽;более 99 шт. на странице;Основание и площадь до расчета расхода;https://stavropol.tstn.ru/lakokrasochnye-materialy/
P18;Материалы;Ceresit CL 51;15 кг;6440.26 ₽;много, цену уточнить;Карта мокрых зон, ленты и примыкания;https://stavropol.prinesipoday.ru/catalog/gidroizolyatsiya/gidroizolyatsiya-polimernaya/
P19;Материалы;Ceresit CM 11 Pro;25 кг;567.35 ₽;358 шт. на странице;Формат плитки, основание и теплый пол;https://stavropol.prinesipoday.ru/catalog/kley-dlya-plitki-tserezit-sm-11-pro-25-kg.html
P20;Электрика;ВВГ-Пнг(А)-LS 3x2.5;5.4x11.3 мм;115.20 ₽/м;наличие на 14.04.2026, позвонить;Метраж, трассы и защиты по однолинейной схеме;https://dixi-st.com/katalog-dixi/kabelno-provodnaya/kabel/silovoj/kabel-vvg-pnga-ls-3h25-gost-pk
P21;Баня;Везувий Скиф Стандарт 16 ДТ-4;H 640 мм, 16 кВт, 8-18 м3;51250 ₽;доступна корзина;Не покупать без проекта печи, основания и пожарных отступов;https://26.teplozhar.ru/dlya-bani-i-sauni/skif-standart-dt-4-to-n079908.html
P22;Баня;Дверь Банный эксперт;680x1800x8 мм, коробка осина;12000 ₽;есть на складе;Проем и направление открывания после проекта перегородки;https://stavropol.pechi-online.ru/shop/dver_bronza_matovoe_18068_8_mm_3_petli_korobka_osina
P23;Баня;Сэндвич-труба Ferrum;115/200x1000 мм, стенка 0.5 мм;3614 ₽;доступна;Не является комплектом дымохода;https://stavropol.pechi-online.ru/shop/dymoxod_uteplennyj_nerzhaveyushhij_05_zerkalnyj_nerzhaveyushhij_d-115_200L1m_po_vode_ferrum-1400778906
P24;Участок;Плитка Старый город серая;толщина 40 мм;750 ₽/м2;доступна корзина;Только пешеходные дорожки, не под автомобиль;https://stavropol.gs-com.ru/tile/oldcity/tp-oldcity-gray-4sm/
P25;Участок;ДПК Woodgrand;140x20x3000 мм;349 ₽/пог.м, около 2406 ₽/м2;акция;Подконструкция, уклоны и гидроизоляция балкона;https://stavropol.woodgrand.ru/katalog/terrasnaya-doska-iz-dpk/
