ID;Раздел;Параметр;Идеальное значение;Единица;Статус H1;Что подгоняется
H1-001;Участок;Габарит;20,00 x 30,00;м;ПРИНЯТО ДЛЯ КООРДИНАЦИИ;генплан, дорожки, баня, озеленение
H1-002;Дом;Наружный контур;14,50 x 11,46;м;ПРИНЯТО ДЛЯ КООРДИНАЦИИ;этажи, фасады, C4D, GLB
H1-003;Дом;Высота;8,09;м;ПРИНЯТО ДЛЯ КООРДИНАЦИИ;фасады, камеры, свет
H1-004;Посадка;Отступ слева;1,50;м;НОРМАЛИЗОВАНО;дом и южный проход
H1-005;Посадка;Отступ справа;4,00;м;НОРМАЛИЗОВАНО;зелёная полоса и дорожка
H1-006;Посадка;До главного фасада;5,89;м;ПО PDF;передний двор и вход
H1-007;Гараж;Ворота;3,60 x 2,80;м;ПО PDF;заезд, автомобиль, стойки балкона
H1-008;Балкон;Передняя часть;7,50 x 1,44;м;ИЗМЕНЕНИЕ ЗАКАЗЧИКА;дверь детской, ограждение, свет
H1-009;Балкон;Боковая часть;1,40 x 8,65;м;ИЗМЕНЕНИЕ ЗАКАЗЧИКА;выход родителей и связь балкона
H1-010;Баня;Габарит;3,00 x 7,00;м;ИЗМЕНЕНИЕ ЗАКАЗЧИКА;план, фундамент, печь, дорожка
H1-011;Хозблок;Габарит;1,00 x 3,00;м;ИЗМЕНЕНИЕ ЗАКАЗЧИКА;план и свет
H1-012;Мангальная;Г-контур;1,61 x 1,97;м;ПО PDF ЧАСТИЧНО;кладка, мойка, дымоход, окно
