Порядок;Специалист;Когда;Что заказать;Что принять
1;Архитектор-обмерщик;первый выезд;обмер дома и незеркальная модель;DWG/PDF, ведомость проёмов и фотофиксация
2;Геодезист;параллельно;топосъёмка и высоты;DWG 1:500 с границами и репером
3;Конструктор;после обмера;балкон и новая дверь детской;расчёт, узлы и ведомость усилений
4;Инженер ЭОМ;после планировки;электрика и освещение;планы, однолинейная схема, спецификация
5;Инженер ВК/ОВ;параллельно ЭОМ;вода, канализация, отопление и вентиляция;планы, аксонометрия, расчёты
6;Проектировщик газа;после ТУ;газоснабжение;согласуемый проект
7;Печник/дымоудаление;до отделки;мангальная и банная печь;узлы, отступы и спецификация
8;Дизайнер/мебельщик;после инженерии;интерьер и мебель;развёртки и заказные чертежи
9;Ландшафтный архитектор/дендролог;после топосъёмки;растения, полив и освещение;посадочный план и ведомость
10;Сметчик/технадзор;до договора и по этапам;смета и контроль работ;сравнение предложений и акты скрытых работ
