Код;Позиция;Количество;Единица;Размер;Минимум ₽;Максимум ₽;Источник объема;Статус
K01;Встраиваемый холодильник;1;шт;модуль 600 мм;84990;84990;компоновка КМ-01 и кандидат MAUNFELD;кандидат
K02;Колонна духового шкафа и хранения;1;шт;600 мм;90000;180000;компоновка КМ-01;предложение
K03;Карго;1;шт;300 мм;45000;95000;компоновка КМ-01;предложение
K04;Ящики подготовки;1;шт;800 мм;70000;140000;компоновка КМ-01;предложение
K05;Тумба индукционной панели;1;шт;900 мм;80000;160000;компоновка КМ-01;предложение
K06;Ящики;1;шт;600 мм;55000;115000;компоновка КМ-01;предложение
K07;Тумба мойки;1;шт;800 мм;60000;125000;компоновка КМ-01;предложение
K08;Фасад ПММ и соседний сервисный доступ;1;комплект;600 мм;35000;75000;компоновка КМ-01;предложение
K09;Верхние шкафы и вытяжной модуль;1;комплект;по КМ-02;160000;300000;развертка КМ-02;предложение
K10;Кварцевая или компактная столешница;1;комплект;после шаблона;180000;380000;компоновка КМ-01;предложение
K11;Остров без воды и панели;1;комплект;2400x1000 мм;160000;320000;требование компоновки;предложение
K12;Посудомоечная машина;1;шт;класс ниши 600 мм;39990;70000;каталог 30.07.2026;кандидат
K13;Индукционная панель;1;шт;590x520x58 мм;41490;90000;каталог 30.07.2026;кандидат недоступен
K14;Духовой шкаф;1;шт;после выбора артикула;45000;110000;рыночный диапазон без КП;не выбран
K15;Вытяжка;1;шт;класс 600 мм;30000;90000;кандидат без подтвержденной цены;не выбран
K16;Мойка смеситель фильтр;1;комплект;после выбора;55000;160000;локальный диапазон;не выбран
K17;Электрика вода вентиляция кухни;1;комплект;по рабочим проектам;120000;280000;локальный диапазон;перекрывает общедомовые разделы
K18;Доставка подъем монтаж;1;комплект;по договору;90000;220000;локальный диапазон;нужны КП
ИТОГО;Локальный срез кухни;1;комплект;не добавлять повторно к общедомовой смете;1450000;2920000;сумма с округлением и пересечением разделов B04 B05 B09 B11;предварительно
