ID;Категория;Кандидат или товар;Цена на сайте ₽;Регион;Ссылка;Проверено;Статус;Что проверить до договора
C01;Комплексный ремонт;Proff Ремонт Ставрополь;от 860 за м²;Ставрополь;https://stavropol.proff-remont.ru/;2026-07-30;кандидат не нанят;выезд смета ИНН договор портфолио именно домов сроки гарантия отзывы
C02;Комплексный ремонт;Ваш Ремонт 26;по замеру;Ставрополь;https://vashremont26.ru/;2026-07-30;кандидат не нанят;детальная смета технадзор акты скрытых работ
C03;Комплексный ремонт;Рего-ремонт 26;по замеру;Ставрополь;https://rego-remont26.ru/;2026-07-30;кандидат не нанят;портфолио коттеджей договор график платежей
C04;Натяжные потолки;PotolokStavropol;280–700 за м²;Ставрополь;https://potolokstavropol.ru/;2026-07-30;публичная ориентировочная цена;замер фактура профиль обходы гарантия смета
C05;Световые линии;PotolokStavropol;от 2800 за м² или позицию по их прайсу;Ставрополь;https://potolokstavropol.ru/;2026-07-30;уточнить единицу и итоговую смету;образец профиль блок питания сервисный доступ
C06;Электромонтаж;Клуб 24.7 Электрик;от 500 за услугу;Ставрополь;https://stavropol.electric-doma.ru/;2026-07-30;кандидат не нанят;допуск измерения протоколы однолинейная маркировка щита
C07;Мебель по размерам;Мебель на заказ 26;по проекту;Ставрополь;https://mebelnazakaz26.ru/;2026-07-30;кандидат не нанят;образцы ЛДСП МДФ фурнитура договор контрольный замер
C08;Мебель по размерам;ARISTO Ставрополь;по проекту;Ставрополь;https://stavropol.aristo.ru/;2026-07-30;кандидат не нанят;гарантия материал кромка фурнитура монтаж
C09;Ландшафт;GardenStav;по выезду;Ставрополь;https://gardenstav.ru/;2026-07-30;кандидат не нанят;дендроплан почва автополив приживаемость гарантия
C10;Кухня;Мария Вектор софт;от 298063;Ставрополь;https://stavropol.marya.ru/price/;2026-07-30;ориентир не оферта;точный проект 5,2 м плюс остров фасады столешница монтаж
T01;Варочная панель;MAUNFELD CVI593SFBK LUX;26240;Ставрополь;https://stavropol.nadommebel.com/catalog/vstraivaemaya-tekhnika/;2026-07-30;цена страницы может измениться;наличие гарантия подключение мощность
T02;Холодильник;MAUNFELD MBF177SWGR;81365;Ставрополь;https://stavropol.nadommebel.com/catalog/vstraivaemaya-tekhnika/;2026-07-30;цена страницы может измениться;ниша вентиляция перенавес дверей гарантия
S01;Инсталляция санузла;Grohe Rapid SL 38528001;31350;Ставрополь;https://stavropol.santehnica.ru/product/69119.html;2026-07-30;под заказ кнопка отдельно;комплект крепежа клавиша шумоизоляция монтаж
A01;Авито отделка;ссылки пользователя не получены;;Ставрополь;https://www.avito.ru/stavropol/uslugi;2026-07-30;не проверено доступ автоматизации заблокирован;прислать 3–5 ссылок затем проверить рейтинг договор портфолио и отзывы
A02;Авито мебель;ссылки пользователя не получены;;Ставрополь;https://www.avito.ru/stavropol/uslugi;2026-07-30;не проверено доступ автоматизации заблокирован;прислать 3–5 ссылок затем проверить производство материалы и гарантию
