Помещение;Категория;Модель или поставщик;Размер;Цена на 30.07.2026;Статус;Источник;Что проверить
Кухня-гостиная;Кухня;Мария / индивидуальный проект;5200 мм плюс остров 2400x1000 мм;950000-1850000 ₽;предварительный диапазон;https://stavropol.marya.ru/price/;чистовой обмер материалы фурнитура столешница монтаж
Кухня-гостиная;Индукционная панель;MAUNFELD CVI593SFBK LUX;590x520x58 мм 7,0 кВт;41490 ₽;нет в наличии;https://www.maunfeld.ru/catalog/induction/induktsionnaya-varochnaya-panel-maunfeld-cvi593sfbk-lux-inverter;подобрать доступную замену и пересчитать линию
Кухня-гостиная;Холодильник;MAUNFELD MBF177SWGR;540x545x1775 мм;84990 ₽;доступен на странице;https://www.maunfeld.ru/catalog/embedded-freezer/kholodilnik-morozilnik-vstraivaemyy-maunfeld-mbf177swgr-inverter;ниша вентиляция открывание доставка
Кухня-гостиная;Посудомоечная машина;MAUNFELD MLP60530 Light Beam;класс ниши 600 мм;39990 ₽;проверить наличие;https://www.maunfeld.ru/catalog/vstraivaemye-posudomoechnye-mashiny/posudomoechnaya-mashina-maunfeld-mlp60530-light-beam;паспортный проем вода слив розетка
Кухня-гостиная;Вытяжка;MAUNFELD Domina 60;класс 600 мм;уточнить;кандидат;https://www.maunfeld.ru/catalog/embedded/kukhonnaya-vytyazhka-maunfeld-domina-60-chyernyy;канал обратный клапан питание высота
Кухня-гостиная;Обеденный стол;Авалон дуб;1600x800x750 мм;до 84479 ₽;каталог-кандидат;https://www.divan.ru/stavropol/category/stoly-avalon;конкретная модификация наличие доставка
Санузлы;Инсталляция;Grohe Rapid SL 38528001;по паспорту;46197 ₽;под заказ;https://stavropol.santehnica.ru/product/69119.html;клавиша крепеж совместимость стены
Спальни и гостиная;Мебель;Divan.ru Ставрополь;по артикулу;уточнить;каталог-кандидат;https://www.divan.ru/stavropol/;габариты открывание проход доставка
Встроенная мебель;Шкафы и гардероб;ARISTO Ставрополь;по чистовому обмеру;индивидуальный расчет;кандидат;https://stavropol.aristo.ru/;материал кромка фурнитура гарантия
Участок;Растения;Питомник Ставрополь;взрослый размер по дендроплану;сезонная цена;кандидат;https://stavropol.zpitomnik.ru/catalog/;сорт контейнер грунт полив гарантия
