code,floor,room,function,c4d_route_status,airflow_m3h,final_size,notes
V01,1,Техническое помещение,Приточно-вытяжная установка,Корпус 470x730x675 мм в C4D,РАСЧЁТ,РАСЧЁТ,ВЕНТС ВУЭ 350 В1Б ЕС А21 показан для проверки габарита; подбор после расчёта
V-SUP-101,1,Гостевая,Приток,Трасса-огибающая в C4D,РАСЧЁТ,РАСЧЁТ,Решётку не направлять на кровать
V-SUP-102,1,Гостиная,Приток,Трасса-огибающая в C4D,РАСЧЁТ,РАСЧЁТ,Проверить дальнобойность и шум
V-EXT-101,1,Санузел,Вытяжка,Трасса-огибающая в C4D,РАСЧЁТ,РАСЧЁТ,Переток из коридора
V-EXT-102,1,Кухня,Общеобменная вытяжка,Трасса-огибающая в C4D,РАСЧЁТ,РАСЧЁТ,Не заменяет вытяжку плиты
V-K01,1,Кухня,Вытяжка плиты отдельная,Отдельный маршрут в C4D,РАСЧЁТ,РАСЧЁТ,Не объединять с рекуператором
V-SUP-201,2,Детская Дарины,Приток,Трасса-огибающая в C4D,РАСЧЁТ,РАСЧЁТ,Проверить скорость в детской
V-SUP-202,2,Детская Ярика,Приток,Трасса-огибающая в C4D,РАСЧЁТ,РАСЧЁТ,Проверить скорость в детской
V-SUP-203,2,Спальня родителей,Приток,Трасса-огибающая в C4D,РАСЧЁТ,РАСЧЁТ,Решётку не направлять на изголовье
V-EXT-201,2,Санузел детей,Вытяжка,Трасса-огибающая в C4D,РАСЧЁТ,РАСЧЁТ,Переток из холла
V-EXT-202,2,Санузел родителей,Вытяжка,Трасса-огибающая в C4D,РАСЧЁТ,РАСЧЁТ,Переток из спальни/холла по проекту
F-B01,1,Котельная,Дымоудаление котла,Отдельная концептуальная трасса,ПО ПАСПОРТУ,ПО ПАСПОРТУ,Лицензированный газовый проект
V-B01,1,Котельная,Верхняя вытяжка,Координационное отверстие,РАСЧЁТ,РАСЧЁТ,Не подключать к V01 без решения проектировщика
V-B02,1,Котельная,Компенсационный приток,Координационное отверстие,РАСЧЁТ,РАСЧЁТ,По требованиям согласованного газового проекта
