ID;Зона;Товар/артикул;Кол-во;Паспортный габарит;Габарит в C4D;Цена на 30.07.2026;Предварительная сумма;Статус товара;Статус модели;Лист/узел;Что проверить до заказа;Ссылка
K-00;Кухня-гостиная;Кухня Мария по индивидуальному проекту;1;линия 5200 мм + остров 2400x1000 мм;5200x600x2400 мм + 2400x1000x920 мм;950000–1850000 ₽;950000–1850000 ₽;ПОСЛЕ ЧИСТОВОГО ОБМЕРА;ГАБАРИТНАЯ ОБОЛОЧКА;AR-04 / EOM-01;чистовые стены пол потолок все паспорта техники карта выводов и коммерческое предложение;https://stavropol.marya.ru/price/
K-01;Кухня-гостиная;MAUNFELD CVI594SBG индукционная панель;1;590x520x58 мм 7.0 кВт;590x520x58 мм;34490 ₽;34490 ₽;В НАЛИЧИИ НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;AR-04 / EOM-01;монтажный вырез паспорт вентиляционный зазор отдельная линия и автомат по расчету ЭОМ;https://www.maunfeld.ru/catalog/induction/induktsionnaya-varochnaya-panel-maunfeld-cvi594sbg
K-02;Кухня-гостиная;MAUNFELD EOEM.769S1 духовой шкаф;1;595x575x595 мм 2.03 кВт;595x575x595 мм;39490 ₽;39490 ₽;В КОРЗИНУ НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;AR-04 / EOM-01;монтажная ниша зазоры охлаждения и розетка в соседнем доступном модуле;https://www.maunfeld.ru/catalog/electric/shkaf-dukhovoy-elektricheskiy-maunfeld-eoem-769s1
K-03;Кухня-гостиная;MAUNFELD MBF177SWGR встраиваемый холодильник;1;540x545x1775 мм;540x545x1775 мм;84990 ₽;84990 ₽;КАНДИДАТ НАЛИЧИЕ ПЕРЕПРОВЕРИТЬ;ТОЧНЫЙ ГАБАРИТ;AR-04 / EOM-01;паспортная ниша вентиляция фасад открывание и неотключаемая линия;https://www.maunfeld.ru/catalog/embedded-freezer/kholodilnik-morozilnik-vstraivaemyy-maunfeld-mbf177swgr-inverter
K-04;Кухня-гостиная;MAUNFELD MLP60530 Light Beam посудомоечная машина;1;598x550x815 мм 2.1 кВт;598x550x815 мм;39990 ₽;39990 ₽;КАНДИДАТ НАЛИЧИЕ ПЕРЕПРОВЕРИТЬ;ТОЧНЫЙ ГАБАРИТ;AR-04 / EOM-01;фасад высота цоколя вода слив и розетка в соседнем модуле;https://www.maunfeld.ru/catalog/vstraivaemye-posudomoechnye-mashiny/posudomoechnaya-mashina-maunfeld-mlp60530-light-beam
K-05;Кухня-гостиная;MAUNFELD Domina 60 black вытяжка;1;598x290x182 мм патрубок D150;598x290x182 мм;17990 ₽;17990 ₽;В КОРЗИНУ НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;AR-04 / OV-02;канал D150 обратный клапан потери давления высота монтажа и сервисный доступ;https://www.maunfeld.ru/catalog/embedded/kukhonnaya-vytyazhka-maunfeld-domina-60-chyernyy
K-06;Кухня-гостиная;MAUNFELD JBMO725BK01 встраиваемая СВЧ;1;595x317x390 мм 1.08 кВт;595x317x390 мм;24990 ₽;24990 ₽;КАНДИДАТ НАЛИЧИЕ ПЕРЕПРОВЕРИТЬ;ТОЧНЫЙ ГАБАРИТ;AR-04 / EOM-01;монтажная ниша вентиляция и доступная розетка;https://www.maunfeld.ru/catalog/edmicrowave/mikrovolnovaya-pech-vstraivaemaya-maunfeld-jbmo725bk01
K-07;Кухня-гостиная;OMOIKIRI TAKI 49-U/IF-IN мойка 4973045;1;490x440x200 мм чаша 450x400 мм;490x440x200 мм;45788 ₽;45788 ₽;В НАЛИЧИИ НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;AR-04 / VK-КУХНЯ;образец выреза выбранный тип монтажа тумба от 500 мм сифон и доступ к соединениям;https://omoikiri-online.ru/products/omoikiri-taki-49-u-if-in
K-08;Кухня-гостиная;OMOIKIRI NARA-S LG смеситель 4994485;1;H242 мм излив H217 L186 мм отверстие D35;H242 мм зона излива 186 мм;53088 ₽;53088 ₽;В НАЛИЧИИ МНОГО НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;AR-04 / VK-КУХНЯ;совместимость с мойкой отверстие D35 подводка 1/2 и зона рычага;https://omoikiri.com.ru/catalog/id/smesitel-omoikiri-nara-s-lg-4994485-dlya-kukhonnoy-moyki-svetloe-zoloto/
K-09;Кухня-гостиная;OMOIKIRI NAGARE 500 измельчитель 4995060;1;D205xH370 мм 375 Вт;D205xH370 мм;29188 ₽;29188 ₽;В НАЛИЧИИ НА СТРАНИЦЕ;ТОЧНЫЙ ГАБАРИТ;VK-КУХНЯ / EOM-01;место под чашей розетка пневмокнопка канализация и разрешение применения по проекту ВК;https://omoikiri.su/omoikiri/omoikiri_nagare_500
